model,hyperparameters,time,accuracy
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 53, 'accuracy': 0.7473118279569892}",0.0280313491821289,0.7473118279569892
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 50, 'accuracy': 0.7849462365591398}",0.0913379192352294,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 27, 'accuracy': 0.7688172043010753}",0.0382823944091796,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 59, 'accuracy': 0.7903225806451613}",0.0452830791473388,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 34, 'accuracy': 0.7688172043010753}",0.0290865898132324,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 20, 'accuracy': 0.7849462365591398}",0.0812494754791259,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 43, 'accuracy': 0.7849462365591398}",0.0248425006866455,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 8, 'accuracy': 0.7956989247311828}",0.0350856781005859,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 25, 'accuracy': 0.7741935483870968}",0.0459921360015869,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 51, 'accuracy': 0.7741935483870968}",0.1071019172668457,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 13, 'accuracy': 0.7903225806451613}",0.0762305259704589,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 9, 'accuracy': 0.8225806451612904}",0.0579893589019775,0.8225806451612904
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 47, 'accuracy': 0.7741935483870968}",0.015000581741333,0.7741935483870968
